,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
30,POINT (718791.8 88300.60000000001),1020,,74.0,,2718791.83,1,['Piazzetta Francesco Somaini'],,Piazzetta Francesco Somaini 3,10194558,1088300.57,Maroggia,,,CH310745029592,101604483,0,6817,05.09.2021,[''],['Piazzetta Somaini'],['IT'],05.09.2021,[3004],2.0,,8012.0,196a,['1'],1004,0,TI,1088300.57,1.0,0,,['2021-09-05T00:00:00'],,3,,[''],[3100],905,,[1],Piazzetta Francesco Somaini 3,Maroggia,196,5195,11143458,6817/681700,0,['Som'],['_555000077'],2718791.83,1110.0
31,POINT (718778.1 88307.8),1020,,76.0,,2718778.186,1,['Piazzetta Francesco Somaini'],,Piazzetta Francesco Somaini 2,10194558,1088307.746,Maroggia,,,CH329545020751,101604484,0,6817,05.09.2021,"['', '', '']",['Piazzetta Somaini'],['IT'],05.09.2021,"[3004, 3004, 3004]",3.0,,8012.0,199a,"['1', '2', '3']",1004,0,TI,1088307.746,3.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,2,,"['', '', '']","[3100, 3401, 3102]",905,,"[0, 0, 0]",Piazzetta Francesco Somaini 2,Maroggia,199,5195,11143459,6817/681700,0,['Som'],"['_2', '_555000191', '_192']",2718778.186,1122.0
32,POINT (718774.1 88298.8),1020,,43.0,,2718774.186,1,['Piazzetta Francesco Somaini'],,Piazzetta Francesco Somaini 1,10194558,1088298.747,Maroggia,,,CH330295074538,101246343,0,6817,05.09.2021,"['', '', '']",['Piazzetta Somaini'],['IT'],05.09.2021,"[3004, 3004, 3004]",3.0,,8011.0,203a,"['1', '2', '3']",1004,0,TI,1088298.747,3.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",Casa Larghi,1,,"['', '', '']","[3100, 3101, 3101]",905,,"[0, 0, 0]",Piazzetta Francesco Somaini 1,Maroggia,203,5195,11143460,6817/681700,0,['Som'],"['_555000079', '_555000080', '_555000354']",2718774.186,1122.0
33,POINT (718795.5 88276.60000000001),1020,,87.0,,2718795.573,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 34,10138436,1088276.565,Maroggia,,,CH369502074561,101246344,0,6817,05.09.2021,[''],['Viale B. Longhena'],['IT'],05.09.2021,[3004],2.0,,8012.0,208bc,['1'],1004,0,TI,1088276.565,1.0,0,,['2021-09-05T00:00:00'],,34,,[''],[3100],905,,[1],Viale Baldassarre Longhena 34,Maroggia,208,5195,11143461,6817/681700,0,['Lon'],['_555000003'],2718795.573,1110.0
34,POINT (718779.1 88289.8),1020,,61.0,,2718779.186,1,['Vicolo Francesco Somaini'],,Vicolo Francesco Somaini 4,10139143,1088289.747,Maroggia,,,CH470795450256,102183776,0,6817,05.09.2021,[''],['Vicolo Francesco Somaini'],['IT'],05.09.2021,[3004],2.0,,8012.0,209a,['1'],1004,0,TI,1088289.747,1.0,0,,['2021-09-05T00:00:00'],,4,,[''],[3100],905,,[1],Vicolo Francesco Somaini 4,Maroggia,209,5195,11143462,6817/681700,0,['Som'],['_555000081'],2718779.186,1110.0
35,POINT (718769.1 88277.8),1020,,36.0,,2718769.186,1,['Via Tommaso e Giacomo Rodari'],,Via Tommaso e Giacomo Rodari 12,10139138,1088277.747,Maroggia,,,CH410745029558,101246345,0,6817,05.09.2021,[''],['Via T. e G. Rodari'],['IT'],05.09.2021,[3004],3.0,,8012.0,214a,['1'],1004,0,TI,1088277.747,1.0,0,,['2021-09-05T00:00:00'],,12,,[''],[3100],905,,[0],Via Tommaso e Giacomo Rodari 12,Maroggia,214,5195,11143463,6817/681700,0,['Rod'],['_555000007'],2718769.186,1110.0
36,POINT (718777.1 88273.8),1030,,148.0,,2718777.186,1,['Via Tommaso e Giacomo Rodari'],,Via Tommaso e Giacomo Rodari 10,10139138,1088273.747,Maroggia,,,CH429545020717,101246346,0,6817,05.09.2021,"['', '', '', '']",['Via T. e G. Rodari'],['IT'],05.09.2021,"[3004, 3004, 3004, 3004]",4.0,,8011.0,215a,"['1', '2', '3', '4']",1004,0,TI,1088273.747,4.0,0,1918.0,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,10,,"['13954', '13956', '13953', '13955']","[3100, 3402, 3401, 3101]",905,,"[0, 0, 0, 0]",Via Tommaso e Giacomo Rodari 10,Maroggia,215,5195,11143464,6817/681700,0,['Rod'],"['_555000083', '_555000084', '_555000192', '_555000193']",2718777.186,1122.0
37,POINT (718791.5 88265.7),1040,,196.0,,2718791.57,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 36,10138436,1088265.69,Maroggia,,,CH430295074504,101246347,0,6817,05.09.2021,[''],['Viale B. Longhena'],['IT'],05.09.2021,[3004],3.0,,8012.0,216a,['2'],1004,0,TI,1088265.69,1.0,0,,['2021-09-05T00:00:00'],,36,,[''],[3102],905,,[0],Viale Baldassarre Longhena 36,Maroggia,216,5195,11143465,6817/681700,0,['Lon'],[''],2718791.57,1211.0
38,POINT (718778.1 88264.8),1020,,96.0,,2718778.186,1,['Via Tommaso e Giacomo Rodari'],,Via Tommaso e Giacomo Rodari 8,10139138,1088264.747,Maroggia,,,CH440702954570,101246348,0,6817,05.09.2021,"['', '', '']",['Via T. e G. Rodari'],['IT'],05.09.2021,"[3004, 3004, 3004]",3.0,,8012.0,217a,"['4', '5', '6']",1004,0,TI,1088264.747,3.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,8,,"['', '', '']","[3102, 3101, 3103]",905,,"[0, 0, 0]",Via Tommaso e Giacomo Rodari 8,Maroggia,217,5195,11143466,6817/681700,0,['Rod'],"['_87', '_86', '_634']",2718778.186,1122.0
39,POINT (718741.5 88272.7),1020,,57.0,,2718741.529,1,['Via Tommaso e Giacomo Rodari'],,Via Tommaso e Giacomo Rodari 13,10139138,1088272.604,Maroggia,,,CH509507450272,101246350,0,6817,05.09.2021,"['', '']",['Via T. e G. Rodari'],['IT'],05.09.2021,"[3004, 3004]",3.0,,8012.0,228a,"['1', '2']",1004,0,TI,1088272.604,2.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,13,,"['', '']","[3100, 3100]",905,,"[1, 0]",Via Tommaso e Giacomo Rodari 13,Maroggia,228,5195,11143468,6817/681700,0,['Rod'],"['_555000413', '_555000657']",2718741.529,1121.0
