EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143474;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718731.185;1088256.746;0;101246356;10139138;Via Tommaso e Giacomo Rodari;19;IT;6817;0;Maroggia;2718731.185;1088256.746;0;2021-07-19 00:00:00
11143474;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718731.185;1088256.746;1;102042477;10139138;Via Tommaso e Giacomo Rodari;5a;IT;6817;0;Maroggia;2718731.185;1088256.746;0;2021-07-19 00:00:00
11143475;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718793.186;1088223.746;0;101246357;10138436;Viale Baldassarre Longhena;40;IT;6817;0;Maroggia;2718793.186;1088223.746;0;2021-07-19 00:00:00
11143476;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718778.296;1088227.257;0;101513099;10139138;Via Tommaso e Giacomo Rodari;1;IT;6817;0;Maroggia;2718778.296;1088227.257;0;2021-07-19 00:00:00
11143477;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718793.9;1088209.968;0;101246358;10138436;Viale Baldassarre Longhena;42;IT;6817;0;Maroggia;2718793.9;1088209.968;0;2021-07-19 00:00:00
11143478;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718805.186;1088176.745;0;101513100;10138436;Viale Baldassarre Longhena;46;IT;6817;0;Maroggia;2718805.186;1088176.745;0;2021-07-19 00:00:00
11143479;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718818.49;1088128.16;0;101246359;10138436;Viale Baldassarre Longhena;48;IT;6817;0;Maroggia;2718818.49;1088128.16;0;2021-07-19 00:00:00
11143480;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718783.185;1088117.742;0;101246360;10138432;Via al Lido;4;IT;6817;0;Maroggia;2718783.185;1088117.742;0;2021-07-19 00:00:00
11143481;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718748.25;1088142.96;0;101246361;10138432;Via al Lido;6;IT;6817;0;Maroggia;2718748.25;1088142.96;0;2021-07-19 00:00:00
11143482;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718688.81;1088195.79;0;101604485;10138432;Via al Lido;9;IT;6817;0;Maroggia;2718688.81;1088195.79;0;2021-07-19 00:00:00
