index;geometry;length
56;LINESTRING (717768.6217234825 97078.65903979407, 717772.5176099626 97101.47248610549);23.143708952316583
57;LINESTRING (717772.5176099626 97101.47248610549, 717776.8870580866 97126.22978521886);25.139927133890254
58;LINESTRING (717776.8870580866 97126.22978521886, 717835.4 97103.7);62.70052307098105
59;LINESTRING (717776.8870580866 97126.22978521886, 717829.8 97139);54.43213947195685
60;LINESTRING (717776.8870580866 97126.22978521886, 717770.9520543825 97127.08205151313);5.995884155263837
61;LINESTRING (717770.9520543825 97127.08205151313, 717773.628362583 97140.47648076066);13.659185936603185
62;LINESTRING (717773.628362583 97140.47648076066, 717798.9 97141);25.277059364800188
63;LINESTRING (717773.628362583 97140.47648076066, 717786.5 97142.8);13.079670922864366
64;LINESTRING (717773.628362583 97140.47648076066, 717779.5532590732 97187.29025100415, 717796.4 97164.3);75.68922292947394
65;LINESTRING (718060.314329532 97021.87793728865, 718039.4 96997.10000000001);32.42461034539997
66;LINESTRING (718060.314329532 97021.87793728865, 718059.516487153 97045.7900798271);23.925449070829668
67;LINESTRING (718059.516487153 97045.7900798271, 717996.5678626465 97041.6983632717, 717982.4599895866 97041.34651079036, 717974.3323915097 97014.6814591633, 718003.8 96996.3);139.80058153075498
68;LINESTRING (718230.573796752 96895.74419587187, 718219.4254272319 96922.83501012997);29.295022787556473
69;LINESTRING (718219.4254272319 96922.83501012997, 718201.2 96905);25.500074198413408
70;LINESTRING (718219.4254272319 96922.83501012997, 718211.6513079725 96938.56137431882);17.542960436029528
71;LINESTRING (718211.6513079725 96938.56137431882, 718209.4017302471 96937.91718371224);2.339996042799076
72;LINESTRING (718209.4017302471 96937.91718371224, 718185.2324183102 96935.06749408969);24.33672883615647
73;LINESTRING (718185.2324183102 96935.06749408969, 718184.5746078183 96935.03245871417);0.6587428336541945
74;LINESTRING (718184.5746078183 96935.03245871417, 718180.0484556877 96934.73314664621, 718158.6310250253 96932.19283231642, 718148.2 96904);56.16423542783594
75;LINESTRING (717527.4519690255 96903.55965215106, 717528.4256180746 96910.09409325986);6.606581042803014
76;LINESTRING (717528.4256180746 96910.09409325986, 717521.602026531 96910.81822760132, 717455.3149093431 96917.84193853589, 717468.2 96901);94.72567430226532
77;LINESTRING (717593.1003184225 96872.31877291527, 717598.0211694217 96897.45352482722);25.611921603643935
78;LINESTRING (717598.0211694217 96897.45352482722, 717597.0957375952 96900.83795701835);3.5086757219591287
79;LINESTRING (717597.0957375952 96900.83795701835, 717594.0602652166 96903.1697343753);3.8276988130817546
80;LINESTRING (717594.0602652166 96903.1697343753, 717591.2437857382 96903.79346008869);2.8847166962604986
81;LINESTRING (717591.2437857382 96903.79346008869, 717588.9227135725 96904.03761928297);2.333878683803647
82;LINESTRING (717588.9227135725 96904.03761928297, 717597.0094141044 96965.72548889178);62.215657051629115
83;LINESTRING (717597.0094141044 96965.72548889178, 717646.7607857108 96960.88479455296, 717666.6 96979.8);77.39761207736468
84;LINESTRING (718184.5746078183 96935.03245871417, 718182.2 96949.7);14.858517074808619
85;LINESTRING (717597.0094141044 96965.72548889178, 717602.0346146834 97006.67316893906);41.25488022177475
86;LINESTRING (717602.0346146834 97006.67316893906, 717612.184138887 97005.41310525201);10.22744357379921
87;LINESTRING (717612.184138887 97005.41310525201, 717613.0492584689 97012.34573624071);6.986401385296003
88;LINESTRING (717613.0492584689 97012.34573624071, 717622.9093503118 97091.64676838732);79.91167067875334
89;LINESTRING (717528.4256180746 96910.09409325986, 717529.9375001277 96920.04129395583, 717541.8469645063 97007.19832868379, 717542.7883094732 97013.39858370824, 717544.16526169 97023.10968279274, 717549.7274787936 97075.553399971, 717552.6028652546 97099.90357069035, 717572 97086.7);214.82964877917192
90;LINESTRING (718059.516487153 97045.7900798271, 718115.7718327367 97053.46598040151);56.77660923624533
91;LINESTRING (717733.608176121 96876.70808993408, 717749.4872476462 96979.9424575665);104.44845414350664
92;LINESTRING (717749.4872476462 96979.9424575665, 717750.5292258272 96987.73468585555);7.861586369069394
93;LINESTRING (717750.5292258272 96987.73468585555, 717754.363579349 96987.35314094684);3.8532899511486645
94;LINESTRING (717754.363579349 96987.35314094684, 717768.6217234825 97078.65903979407);92.41245499624262
95;LINESTRING (718065.6030339706 96833.86179821295, 718044.2 96807);34.345975985272304
96;LINESTRING (718065.6030339706 96833.86179821295, 718141.8749964547 96838.54684833626, 718157.2 96829);94.4711339862161
97;LINESTRING (718065.6030339706 96833.86179821295, 718080.2 96869);38.049502520929124
98;LINESTRING (718065.8358293166 96761.29392601224, 718091.2 96790);38.30639422137357
99;LINESTRING (717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671);54.16998439871566
100;LINESTRING (717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256);78.2369712838103
101;LINESTRING (717642.0385609693 96759.48778059256, 717626.043907774 96698.90313723111, 717587.9122872842 96707.29346062211, 717582.7773693376 96706.81603236315, 717578.7083709008 96704.50240214926, 717575.7072256714 96700.65281240753, 717574.3551909211 96697.257654267, 717568.8514927572 96668.59810707407, 717556.2092362936 96669.73218598223, 717494.4722562667 96675.286943388, 717493.0385437221 96665.29678831542, 717483.8475120596 96601.34171850675, 717471.4 96622.3);323.02097886393693
102;LINESTRING (718065.8358293166 96761.29392601224, 718080.3 96757.8);14.880179855691507
103;LINESTRING (717770.2385166009 96727.52573902498, 717794.2 96767);46.17759160249222
104;LINESTRING (718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295);72.56824559965837
